timestamp,packets_per_sec,syn_ratio,avg_size,unique_ips,unique_port
1772466233.9077039,250.6,0.004788507581803671,307.39385474860336,32,52
1772466234.9120443,274.6,0.004369992716678805,307.6347414420976,35,55
1772466235.916515,272.2,0.0033063923585598823,312.5889052167524,37,56
1772466236.921708,265.1,0.002640513013956997,308.2723500565824,35,53
1772466237.9258194,253.6,0.002365930599369085,308.358832807571,35,53
1772466238.9312985,262.3,0.0019062142584826535,360.2817384674037,36,53
1772466239.9395282,264.2,0.002271006813020439,363.888720666162,35,48
1772466240.9465756,265.2,0.0026395173453996985,363.4766214177979,36,50
1772466241.9588723,259.8,0.0026943802925327174,368.43802925327174,35,49
1772466243.0208478,253.7,0.0027591643673630273,370.89475758770203,36,50
1772466244.0914965,261.6,0.002675840978593272,418.6769877675841,35,48
1772466245.1965055,283.7,0.0028198801550934085,473.21607331688404,38,52
1772466246.2846053,286.8,0.0031380753138075313,489.5645048814505,34,48
1772466247.343043,293.6,0.0034059945504087193,492.5149863760218,31,45
1772466248.3992777,296.9,0.00370495116200741,490.2084877062984,31,47
1772466249.4575005,284.9,0.003861003861003861,457.26395226395226,33,51
1772466250.5223148,288.2,0.004163775156141568,472.76648160999304,34,52
1772466251.5974941,297.6,0.004368279569892473,487.3813844086022,38,60
1772466252.664674,324.8,0.0040024630541871924,530.4935344827586,40,64
1772466253.6781056,340.5,0.0041116005873715125,518.2038179148311,48,77
1772466254.708257,347.3,0.003743161531816873,523.2176792398503,49,80
1772466255.725348,407.8,0.0029426189308484553,817.483570377636,52,79
1772466256.762753,484.0,0.0024793388429752068,785.9487603305785,50,85
1772466257.7816076,488.1,0.0026633886498668305,786.8621184183569,50,85
1772466258.7944045,483.1,0.0026909542537776857,792.6015317739599,57,97
1772466259.8110693,510.0,0.0027450980392156863,800.4760784313726,60,101
1772466260.8299818,531.7,0.0030092157231521536,801.3844273086327,64,106
1772466287.8733366,23.7,0.004219409282700422,299.69198312236284,5,8
1772466288.883344,49.3,0.002028397565922921,339.82555780933063,5,8
1772466289.8906503,74.2,0.0013477088948787063,336.2156334231806,12,17
1772466290.8935864,93.6,0.0010683760683760685,362.2564102564103,18,24
1772466291.8984406,117.0,0.0008547008547008547,359.4273504273504,18,25
1772466292.9026942,137.5,0.0007272727272727272,362.5498181818182,20,27
1772466293.9065614,155.3,0.000643915003219575,357.49774629748873,21,29
1772466294.911663,189.2,0.0005285412262156448,428.43763213530656,22,30
1772466295.9167209,205.6,0.00048638132295719845,422.1896887159533,22,30
1772466296.921338,223.6,0.0004472271914132379,418.09615384615387,24,32
1772466297.9287965,221.1,0.0,426.8023518769787,25,31
1772466298.9357738,218.1,0.0,431.72214580467676,28,33
1772466299.9393182,214.6,0.0,438.4520037278658,24,28
1772466300.945642,212.2,0.0,423.7200754005655,22,26
1772466301.9550965,221.5,0.0,474.3611738148984,23,28
1772466302.9598415,220.7,0.0,471.5342093339375,21,26
1772466303.9727206,239.5,0.0,524.7315240083507,25,32
1772466304.9865546,246.3,0.0,532.6739748274462,26,32
1772466305.9945018,267.3,0.0003741114852225963,578.5316124205013,33,41
1772466306.9997861,280.2,0.00035688793718772306,600.2587437544611,32,39
1772466308.0067043,284.2,0.0003518648838845883,614.9732582688248,33,40
1772466309.040491,290.4,0.0003443526170798898,612.0736914600551,35,44
1772466310.0701628,297.1,0.0003365870077415012,606.4133288455066,39,49
1772466311.1238196,304.2,0.0003287310979618672,603.6771860618014,37,50
1772466312.2438526,306.4,0.00032637075718015666,613.0819190600522,38,54
1772466313.2827244,312.3,0.0003202049311559398,616.636567403138,37,52
1772466314.348835,286.6,0.0006978367062107466,546.9595254710398,36,52
1772466315.3995216,264.9,0.00037750094375235937,502.30237825594565,34,46
1772466316.449991,263.5,0.0003795066413662239,487.26869070208727,37,49
1772466317.4893422,246.5,0.00040567951318458417,435.9111561866126,40,51
1772466318.5491924,248.1,0.00040306328093510683,432.6380491737203,38,47
1772466319.6138363,243.9,0.0004100041000410004,435.4907749077491,35,46
1772466320.6584914,244.4,0.0004091653027823241,452.0994271685761,34,44
1772466321.746916,259.2,0.00038580246913580245,499.72029320987656,32,40
1772466322.8249176,244.1,0.0008193363375665711,453.7177386317083,28,36
1772466323.8942528,242.4,0.00041254125412541255,443.55445544554453,29,39
1772466325.0022151,239.0,0.00041841004184100416,439.9255230125523,30,40
1772466326.0369055,234.6,0.00042625745950554135,433.5541346973572,31,41
1772466327.113719,232.4,0.0004302925989672978,427.2775387263339,29,40
